,appid,all-descriptions
A Virus Named TOM,207650," Single-player Multi-player Shared/Split Screen Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Remote Play Together Action Indie Strategy A perfect place. A city without traffic. A dog that doesn't poop. All products of the brilliant mind of Dr. X, but hell hath no fury like a mad scientist fired by a giant corporation. In this unique action-puzzler you take control of TOM, a virus created for one purpose: revenge. Hack your way through brain scrambling puzzles while maneuvering through a thumb cramping maze of enemies. Team up through over 50 cooperative levels in what MMGN is calling ""The most addictive co-op game we've played since Portal 2.""  And if the over 100 levels aren't enough, you and your friends can destroy each other again and again in battle mode to determine just who is the supreme virus.Key Features:Single Player mode with over 50 levels across 6 distinct areasCooperative mode (for up to 4 players) with over 50 additional levels in which ""friendships will be destroyed""Battle for supreme virus-itude by battling your friends in Battle ModeEvolving mechanics which ratchet up the difficulty from lollipop to soul crushingAn animated tale full of dark humor, malfunctioning robots, and little girl screams A perfect place. A city without traffic. A dog that doesn't poop. All products of the brilliant mind of Dr. X, but hell hath no fury like a mad scientist fired by a giant corporation. In this unique action-puzzler you take control of TOM, a virus created for one purpose: revenge. Hack your way through brain scrambling puzzles while maneuvering through a thumb cramping maze of enemies. Team up through over 50 cooperative levels in what MMGN is calling ""The most addictive co-op game we've played since Portal 2.""  And if the over 100 levels aren't enough, you and your friends can destroy each other again and again in battle mode to determine just who is the supreme virus.Key Features:Single Player mode with over 50 levels across 6 distinct areasCooperative mode (for up to 4 players) with over 50 additional levels in which ""friendships will be destroyed""Battle for supreme virus-itude by battling your friends in Battle ModeEvolving mechanics which ratchet up the difficulty from lollipop to soul crushingAn animated tale full of dark humor, malfunctioning robots, and little girl screams Hack your way through brain scrambling puzzles while maneuvering through a thumb cramping maze of enemies."
A Walk in the Dark,248730," Single-player Steam Achievements Full controller support Steam Cloud Stats Steam Leaderboards Remote Play on TV Action Indie In this action platformer you play as a cat, Bast, running through a dark fantasy world. You’ll be running, jumping and sliding with smooth and precise controls designed to make you feel like a cat. But it wont be easy. In the dark you never know what lies in the shadows. In this dark journey you will face strange creatures and dangerous traps. Features:  A story driven platformer set in a dark fantasy world.  Fluid controls and animations: play as a cat, move like one.  Challenging levels set in a dark, strange and dangerous world.  Gravity inversion mechanics that will test your skills and ability to adapt to new gameplay.  Beautiful original soundtrack by Cody Cook In this action platformer you play as a cat, Bast, running through a dark fantasy world. You’ll be running, jumping and sliding with smooth and precise controls designed to make you feel like a cat. But it wont be easy. In the dark you never know what lies in the shadows. In this dark journey you will face strange creatures and dangerous traps. Features:  A story driven platformer set in a dark fantasy world.  Fluid controls and animations: play as a cat, move like one.  Challenging levels set in a dark, strange and dangerous world.  Gravity inversion mechanics that will test your skills and ability to adapt to new gameplay.  Beautiful original soundtrack by Cody Cook In this action platformer you play as a cat, Bast, running through a dark fantasy world. You’ll be running, jumping and sliding with smooth and precise controls designed to make you feel like a cat. But it wont be easy. In the dark you never know what lies in the shadows."
A Wizard's Lizard,280040," Single-player Steam Achievements Full controller support Steam Trading Cards Action Indie RPG Conquer the forces of Death in A Wizard’s Lizard, an action RPG for Windows, Mac and Linux. Explore ever-changing dungeons, filled with valuable treasure and powerful items, while battling back the hordes of evil. Rescue townsfolk to improve your town and aid your next trek into the dungeon.

Fans of The Legend of Zelda, Gauntlet, and The Binding of Isaac will love the retro-inspired twin-stick action of A Wizard's Lizard.

When the wizard of Amberfall unlocks the magic of eternal life, Death comes to take him away. Now his faithful pet lizard must brave procedurally-generated dungeons to save him!

Master Life & Death: Death is only the beginning as you continue to unlock secrets in the realm of the dead. Find hidden items only accessible to those who have died and discover the power of resurrection. Tread carefully, the dead do not wish to be disturbed.

Rebuild the Town: Rescue townsfolk trapped throughout the dungeons for increasing reward. Discover lost blueprints which allow the town's blacksmith to craft new weapons and armor.

Restore the Museum: Search Death's domain for stolen artifacts and legendary weapons. Every item you find is returned to the museum for display. Can you recover all of the powerful weapons, legendary armor, and magical items?

Control your lizard using your favorite gamepad (including the Xbox 360 controller) for full 360 degree movement and attacking. Conquer the forces of Death in A Wizard’s Lizard, an action RPG for Windows, Mac and Linux. Explore ever-changing dungeons, filled with valuable treasure and powerful items, while battling back the hordes of evil. Rescue townsfolk to improve your town and aid your next trek into the dungeon.

Fans of The Legend of Zelda, Gauntlet, and The Binding of Isaac will love the retro-inspired twin-stick action of A Wizard's Lizard.

When the wizard of Amberfall unlocks the magic of eternal life, Death comes to take him away. Now his faithful pet lizard must brave procedurally-generated dungeons to save him!

Master Life & Death: Death is only the beginning as you continue to unlock secrets in the realm of the dead. Find hidden items only accessible to those who have died and discover the power of resurrection. Tread carefully, the dead do not wish to be disturbed.

Rebuild the Town: Rescue townsfolk trapped throughout the dungeons for increasing reward. Discover lost blueprints which allow the town's blacksmith to craft new weapons and armor.

Restore the Museum: Search Death's domain for stolen artifacts and legendary weapons. Every item you find is returned to the museum for display. Can you recover all of the powerful weapons, legendary armor, and magical items?

Control your lizard using your favorite gamepad (including the Xbox 360 controller) for full 360 degree movement and attacking. Conquer the forces of Death in A Wizard’s Lizard, an action RPG for Windows, Mac, and Linux. Explore ever-changing dungeons, filled with powerful weapons and items. Battle back the hordes of evil. Rescue villagers to improve your town and increase your power for your next trek into the dungeon."
A-Men 2,294190," Single-player Steam Achievements Partial Controller Support Steam Cloud Adventure Indie Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more. Atom, Antler, Anaconda, Aurelius and Aardvark are ready and waiting to destroy hordes of A-Droids again. So don't let them wait. A-MEN 2 is bringing you four brand new worlds full of enemies, traps and puzzles. Also our brave soldiers got some new skills. You're not convinced? You said that A-MEN part one was so easy? Try us! A-MEN 2 promises to give you more challenges than you expect. Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more. Atom, Antler, Anaconda, Aurelius and Aardvark are ready and waiting to destroy hordes of A-Droids again. So don't let them wait. A-MEN 2 is bringing you four brand new worlds full of enemies, traps and puzzles. Also our brave soldiers got some new skills. You're not convinced? You said that A-MEN part one was so easy? Try us! A-MEN 2 promises to give you more challenges than you expect. Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more."
A-Train 8,249930," Single-player Simulation As the owner of a brand new railway company, you must manage train schedules, develop new railways, construct buildings, and manipulate the stock market on your quest to earn one trillion dollars.Have you ever wondered what it's like to manage a railway company, or how trains can impact the fate of an entire city? A-Train 8 answers these questions! The task will be fun, but not necessarily easy. Your company relies on the citizens for revenue, and the city needs your railway to function and thrive. If you fail to master this relationship, both your company and the city will face certain derailment.The future of the city is in your hands!In-Depth Management. Plenty of Challenges.The gameplay of A-Train 8 is no simple affair. If you want to succeed, you will have to make decisions based on time, weather, terrain, financial status, and many other factors, but there are plenty of metrics and reports to help you out!Realistic Trains and Buildings. Beautiful Textures.A-Train 8 delivers more than just realistic gameplay. All of the visuals are inspired by real life, including the trains, buildings, and even monuments such as the Eiffel Tower!Ten Default ScenariosA-Train 8 will help realize your passion for railway management and city development with its ten default scenarios, intuitive gameplay, realistic 3D graphics, and in-depth map editor!Choose from one of our pre-constructed scenarios, each with a different element of challenge that will help you learn and ultimately master the game. Each scenario includes a city that needs you to solve a significant problem, such as uncompromising terrain, underdeveloped infrastructure, and poor management.Deep And Involved GameplayAs a simulation game, A-Train 8 is all about giving control to the players. Nearly everything you can think of can be managed, from train schedules to proposed projects to stocks. Once you make a decision, the results begin to take effect immediately. Constructing the right kind of buildings in the right area will lead to more commuters and further city development, a win-win situation. On the other hand, poor schedule management and overextending will lead to a loss in commuters, severely impacting your company’s bottom line. Every decision you make is important!Major factors that will affect your management include:Time & Weather: Time passes continuously in A-Train 8, affecting train and construction schedules. Weather will change constantly: both snow and rain are possible at a moment's notice!The Terrain: Certain areas are not ideal for development, and laying track over water is not cheap!Financial Information: You will have complete access to your company’s balance sheet, railroad statistics, city trends, and stock/real estate reports. These reports are constantly updated throughout the simulation.The Market: Equity and debt financing could very well give you the funds needed to expand your empire. You can buy/sell stocks, take out loans, and even sell real estate!Building Tracks: Every track your company lays must be planned carefully. Not only does track cost money, but inefficient or inadequate track will slow down city development and decrease the amount of commuters!Train Schedules: With the help of a Schedule Wizard and your own business sense, you will have the tools to create the most streamlined schedule possible given the circumstances. Smart scheduling will save your company money while still keeping the citizens happy.The Trains: Each train has a slew of advantages and disadvantages. Elements such as speed, cost, maintenance, and capacity must be taken into account.Realistic 3D GraphicsTo ensure the most realistic experience possible, A-Train 8’s graphics are inspired heavily by real trains and buildings.Trains: There are eleven trains available by default, ranging from commuters to freighters to lightning-fast magnetics.Buildings: Dozens of hotels, factories, high rises, and residential buildings are at your disposal. Build 60-story skyscrapers, parks, airports, and even amusement parks!Monuments: Place a unique stamp on your city with iconic landmarks such as the Eiffel Tower, Big Ben, and the Colosseum!Map Construction ModeWhether you’ve already mastered the default scenarios or you want to build your own area from scratch, A-Train 8’s Map Construction Mode will ensure that each simulation is unique. Once you’re happy with your custom map, you can simulate it in Game Mode and manage your company for real!Terrain Editor: In Map Construction Mode, you start with a large swath of flat land, ready to be molded into the terrain that you are envisioning. You have complete control over the map’s elevation and water, providing your map with uniqueness in both aesthetics and challenge.Lifted Limitations: Construction does not cost money or materials, allowing you to build a large city from scratch before you even simulate a single day!Customized Information: You can set the starting funds for your new simulation, opening up limitless possibilities for challenge. Imagine creating a minimalistic map with a large amount of initial funds, or a well developed town with a nearly bankrupted railway company that is struggling to keep it afloat. As the owner of a brand new railway company, you must manage train schedules, develop new railways, construct buildings, and manipulate the stock market on your quest to earn one trillion dollars.Have you ever wondered what it's like to manage a railway company, or how trains can impact the fate of an entire city? A-Train 8 answers these questions! The task will be fun, but not necessarily easy. Your company relies on the citizens for revenue, and the city needs your railway to function and thrive. If you fail to master this relationship, both your company and the city will face certain derailment.The future of the city is in your hands!In-Depth Management. Plenty of Challenges.The gameplay of A-Train 8 is no simple affair. If you want to succeed, you will have to make decisions based on time, weather, terrain, financial status, and many other factors, but there are plenty of metrics and reports to help you out!Realistic Trains and Buildings. Beautiful Textures.A-Train 8 delivers more than just realistic gameplay. All of the visuals are inspired by real life, including the trains, buildings, and even monuments such as the Eiffel Tower!Ten Default ScenariosA-Train 8 will help realize your passion for railway management and city development with its ten default scenarios, intuitive gameplay, realistic 3D graphics, and in-depth map editor!Choose from one of our pre-constructed scenarios, each with a different element of challenge that will help you learn and ultimately master the game. Each scenario includes a city that needs you to solve a significant problem, such as uncompromising terrain, underdeveloped infrastructure, and poor management.Deep And Involved GameplayAs a simulation game, A-Train 8 is all about giving control to the players. Nearly everything you can think of can be managed, from train schedules to proposed projects to stocks. Once you make a decision, the results begin to take effect immediately. Constructing the right kind of buildings in the right area will lead to more commuters and further city development, a win-win situation. On the other hand, poor schedule management and overextending will lead to a loss in commuters, severely impacting your company’s bottom line. Every decision you make is important!Major factors that will affect your management include:Time & Weather: Time passes continuously in A-Train 8, affecting train and construction schedules. Weather will change constantly: both snow and rain are possible at a moment's notice!The Terrain: Certain areas are not ideal for development, and laying track over water is not cheap!Financial Information: You will have complete access to your company’s balance sheet, railroad statistics, city trends, and stock/real estate reports. These reports are constantly updated throughout the simulation.The Market: Equity and debt financing could very well give you the funds needed to expand your empire. You can buy/sell stocks, take out loans, and even sell real estate!Building Tracks: Every track your company lays must be planned carefully. Not only does track cost money, but inefficient or inadequate track will slow down city development and decrease the amount of commuters!Train Schedules: With the help of a Schedule Wizard and your own business sense, you will have the tools to create the most streamlined schedule possible given the circumstances. Smart scheduling will save your company money while still keeping the citizens happy.The Trains: Each train has a slew of advantages and disadvantages. Elements such as speed, cost, maintenance, and capacity must be taken into account.Realistic 3D GraphicsTo ensure the most realistic experience possible, A-Train 8’s graphics are inspired heavily by real trains and buildings.Trains: There are eleven trains available by default, ranging from commuters to freighters to lightning-fast magnetics.Buildings: Dozens of hotels, factories, high rises, and residential buildings are at your disposal. Build 60-story skyscrapers, parks, airports, and even amusement parks!Monuments: Place a unique stamp on your city with iconic landmarks such as the Eiffel Tower, Big Ben, and the Colosseum!Map Construction ModeWhether you’ve already mastered the default scenarios or you want to build your own area from scratch, A-Train 8’s Map Construction Mode will ensure that each simulation is unique. Once you’re happy with your custom map, you can simulate it in Game Mode and manage your company for real!Terrain Editor: In Map Construction Mode, you start with a large swath of flat land, ready to be molded into the terrain that you are envisioning. You have complete control over the map’s elevation and water, providing your map with uniqueness in both aesthetics and challenge.Lifted Limitations: Construction does not cost money or materials, allowing you to build a large city from scratch before you even simulate a single day!Customized Information: You can set the starting funds for your new simulation, opening up limitless possibilities for challenge. Imagine creating a minimalistic map with a large amount of initial funds, or a well developed town with a nearly bankrupted railway company that is struggling to keep it afloat. As the owner of a brand new railway company, you must manage train schedules, develop new railways, construct buildings, and manipulate the stock market on your quest to earn one trillion dollars.Have you ever wondered what it's like to manage a railway company, or how trains can impact the fate of an entire city?"
A.I.M. Racing,46200," Single-player Partial Controller Support Steam Cloud Action Racing A.I.M. Racing welcomes you to the planet Polygon-4, where deadly vehicles of the distant future compete, swishing planet’s dusty atmosphere at a tremendous pace. Years ago humans along with the Arlings used Polygon-4 for a number of military experiments, but later left the test complex. However, the intelligent machines, AIMs, continue to fulfill objectives they are programmed for: further evolution and self-perfection. AIMs of the Reckoners clan built a network of tracks to test multi-purpose combat machines in action.					If you are not afraid of awesome speed, fatal traps and plasma charges, tearing apart your racing glider’s sheeting, A.I.M. Racing is a game of your choice. There is no need to save money to buy a new glider, no need to think, where you can acquire energy supply for a more powerful canon. The clan will give you everything – but you must win! Over 50 rounds in a Championship Over 30 various gliders Diverse tactic to destroy your opponents Unique glider dynamics Treacherous traps and useful bonuses. Vast number of weaponry, including mines and rockets Detailed statistics for each race to show your skills Online records table Multiplayer options  A.I.M. Racing welcomes you to the planet Polygon-4, where deadly vehicles of the distant future compete, swishing planet’s dusty atmosphere at a tremendous pace. Years ago humans along with the Arlings used Polygon-4 for a number of military experiments, but later left the test complex. However, the intelligent machines, AIMs, continue to fulfill objectives they are programmed for: further evolution and self-perfection. AIMs of the Reckoners clan built a network of tracks to test multi-purpose combat machines in action.					If you are not afraid of awesome speed, fatal traps and plasma charges, tearing apart your racing glider’s sheeting, A.I.M. Racing is a game of your choice. There is no need to save money to buy a new glider, no need to think, where you can acquire energy supply for a more powerful canon. The clan will give you everything – but you must win! Over 50 rounds in a Championship Over 30 various gliders Diverse tactic to destroy your opponents Unique glider dynamics Treacherous traps and useful bonuses. Vast number of weaponry, including mines and rockets Detailed statistics for each race to show your skills Online records table Multiplayer options  A.I.M. Racing welcomes you to the planet Polygon-4, where deadly vehicles of the distant future compete, swishing planet’s dusty atmosphere at a tremendous pace. Years ago humans along with the Arlings used Polygon-4 for a number of military experiments, but later left the test complex."
A.I.M.2 Clan Wars,289180," Single-player Steam Cloud Action RPG Simulation A.I.M. 2 is the sequel to the epic science fiction first-person action RPG developed by SkyRiver Studios. Its compelling story and unique look lift off exactly where the original ended.New clans led by Mechminds of the Fifth Generation are powerful and well-organized formations with far-reaching plans. Powerful groups have different interests that often crossed, war broke out again. However this time it is the struggle not for mere control, this is struggle for survival. The clans want to eliminate the weaker ones standing in their way and will stop at nothing to dominate their enemies. To achieve their goals they use not only military means, but economic ones as well. As of now none of the clans has managed to achieve complete victory.You are a part of the oldest clan called the Reckoners, a dedicated group looking for the firstborn Mechmind of the Fifth Generation. This could be a chance to restore former might for your clan which has lost its power and even be victorious in the war.This version of the game has been updated specially for Steam to make it compatible with modern PCs.Original sci-fi storyline plunging you into the world of intelligent robotsOpportunity to create a personalized clan consisting of independently operating machinesTactical operations as well as clan strategic management36 different gliders are available to flyHuge game world with diverse locations, including subterranean cavernsDifferent options to interact with other MechmindsAdvanced trading systemUpdated for compatibility with modern PCs A.I.M. 2 is the sequel to the epic science fiction first-person action RPG developed by SkyRiver Studios. Its compelling story and unique look lift off exactly where the original ended.New clans led by Mechminds of the Fifth Generation are powerful and well-organized formations with far-reaching plans. Powerful groups have different interests that often crossed, war broke out again. However this time it is the struggle not for mere control, this is struggle for survival. The clans want to eliminate the weaker ones standing in their way and will stop at nothing to dominate their enemies. To achieve their goals they use not only military means, but economic ones as well. As of now none of the clans has managed to achieve complete victory.You are a part of the oldest clan called the Reckoners, a dedicated group looking for the firstborn Mechmind of the Fifth Generation. This could be a chance to restore former might for your clan which has lost its power and even be victorious in the war.This version of the game has been updated specially for Steam to make it compatible with modern PCs.Original sci-fi storyline plunging you into the world of intelligent robotsOpportunity to create a personalized clan consisting of independently operating machinesTactical operations as well as clan strategic management36 different gliders are available to flyHuge game world with diverse locations, including subterranean cavernsDifferent options to interact with other MechmindsAdvanced trading systemUpdated for compatibility with modern PCs A.I.M. 2 is the sequel to the epic science fiction first-person action RPG developed by SkyRiver Studios. Its compelling story and unique look lift off exactly where the original ended. New clans led by Mechminds of the Fifth Generation are powerful and well-organized formations with far-reaching plans."
A.R.E.S.,92300," Single-player Steam Achievements Steam Trading Cards Partial Controller Support Steam Cloud Action Indie Steam Exclusive OfferCarbon Stealth Suit: (Yellow)								A light weight and non metal alternative to ARES traditional armor. Proves to be pleasing to the eye.  Indigo Pulse Suit: (Blue)								A prototype suit made of special materials discovered by United Earth which was estimated to be immune to Zytron Gas.About the GameA.R.E.S.: Extinction Agenda is the first chapter in a full featured episodic hardcore action packed side scrolling platformer, in the traditions of retro classics, where you play as Ares, a combat robot created for the sole purpose of saving humanity. Can you live up to the task or will you be reduced to nuts and bolts?						You are Ares, the first Zytron immune robot. A symbol of how far human technology has come, you are the most advanced robot in existence; built to run faster, jump higher, and fire quicker. In addition to these core attributes, your design includes a system for converting spare parts and resources into valuable items, armor, and weaponry. You will need to use everything at your disposal in order to reach and rescue the survivors aboard the Zytron infected space station. Key features:Play through various locations in the A.R.E.S. universe, each a beautiful, unique, 3D environment with challenging obstacles. You are the ultimate weapon with the ultimate sidekick – Collect the secret items and get power up to become a perfect weapon. Come face to face with colossal opponents, learn their patterns to defeat them in battle. Destroy enemies, collect their parts, and then recycle them to make incredible items, including health packs, ammo, and weapon upgrades. A.R.E.S.: Extinction Agenda is the first chapter in a full featured episodic hardcore action packed side scrolling platformer, in the traditions of retro classics, where you play as Ares, a combat robot created for the sole purpose of saving humanity. Can you live up to the task or will you be reduced to nuts and bolts?						You are Ares, the first Zytron immune robot. A symbol of how far human technology has come, you are the most advanced robot in existence; built to run faster, jump higher, and fire quicker. In addition to these core attributes, your design includes a system for converting spare parts and resources into valuable items, armor, and weaponry. You will need to use everything at your disposal in order to reach and rescue the survivors aboard the Zytron infected space station. Key features:Play through various locations in the A.R.E.S. universe, each a beautiful, unique, 3D environment with challenging obstacles. You are the ultimate weapon with the ultimate sidekick – Collect the secret items and get power up to become a perfect weapon. Come face to face with colossal opponents, learn their patterns to defeat them in battle. Destroy enemies, collect their parts, and then recycle them to make incredible items, including health packs, ammo, and weapon upgrades. You are the ultimate weapon with an ultimate sidekick – Collect secret items and get power ups to become the perfect weapon."
A.R.E.S. Extinction Agenda EX,315340," Single-player Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Action Indie Special Offer for A.R.E.S. Extinction Agenda OwnerIf you own the original A.R.E.S. Extinction Agenda in your library, you will receive the exclusive support drone: ""Apollo"" as a bonus.About the GameA.R.E.S. Extinction Agenda EX is the upgraded version of A.R.E.S. Extinction Agenda, the award-winning 2.5D action-packed side-scrolling platform game that originally released in 2011. The game takes players on a thrilling sci-fi adventure! Take control of combat specialist Ares, or the new playable character, Tarus, to battle deadly machines with a variety of powerful weapons and armor. Your goal: Save Minos Space Station’s survivors and uncover the nefarious Zytron’s extinction agenda!Key Features:Receiving EX Transmission – A.R.E.S. Extinction Agenda EX has been refitted with new friendly UI, control scheme, and leaderboards. Upgrade Complete – Armed with new weapons, abilities, and even a new playable ally, humanity’s secret weapon has never been stronger. Obstruction Eminent – Ares isn't the only one with new tricks; new enemies and bosses have also joined the fray. Along with challenges stages, you’ll need all your might and power to fight off these guys. Uncharted Sectors – With readjusted maps and completely new levels, there are an abundance of areas to explore for new and returning robots alike. Delve deeper into the world of A.R.E.S. and discover new areas of Minos Space Station you never knew existed! Visuals Updated – New high resolution textures as well as brand new animated cut scenes. Audio Enhanced – A.R.E.S. Extinction Agenda EX comes complete with the original soundtrack by Hyperduck Soundworks. Also now boasting a completely new additional soundtrack for the second campaign from Heavy Metal master Charlie Parra Del Riego, a perfect fit for Tarus the heavy metal Tanker. A.R.E.S. Extinction Agenda EX is the upgraded version of A.R.E.S. Extinction Agenda, the award-winning 2.5D action-packed side-scrolling platform game that originally released in 2011. The game takes players on a thrilling sci-fi adventure! Take control of combat specialist Ares, or the new playable character, Tarus, to battle deadly machines with a variety of powerful weapons and armor. Your goal: Save Minos Space Station’s survivors and uncover the nefarious Zytron’s extinction agenda!Key Features:Receiving EX Transmission – A.R.E.S. Extinction Agenda EX has been refitted with new friendly UI, control scheme, and leaderboards. Upgrade Complete – Armed with new weapons, abilities, and even a new playable ally, humanity’s secret weapon has never been stronger. Obstruction Eminent – Ares isn't the only one with new tricks; new enemies and bosses have also joined the fray. Along with challenges stages, you’ll need all your might and power to fight off these guys. Uncharted Sectors – With readjusted maps and completely new levels, there are an abundance of areas to explore for new and returning robots alike. Delve deeper into the world of A.R.E.S. and discover new areas of Minos Space Station you never knew existed! Visuals Updated – New high resolution textures as well as brand new animated cut scenes. Audio Enhanced – A.R.E.S. Extinction Agenda EX comes complete with the original soundtrack by Hyperduck Soundworks. Also now boasting a completely new additional soundtrack for the second campaign from Heavy Metal master Charlie Parra Del Riego, a perfect fit for Tarus the heavy metal Tanker. A 2.5D action-packed side-scrolling game, takes players on a thrilling sci-fi adventure! Take control of combat specialist Ares, or the new playable character, Tarus, to battle deadly machines with a variety of powerful weapons and armor. Your goal: Save Minos Space Station’s survivors and uncover the nefarious Zytron’s extinction agenda!"
A.V.A - Alliance of Valiant Arms,-1,
ACE - Arena Cyber Evolution,-1,
ACE COMBAT ASSAULT HORIZON Enhanced Edition,-1,
AGFPRO Fantasy Side-Scroller Player,270941," Single-player Downloadable Content Includes level editor Design & Illustration Education Software Training Utilities AGFPRO FANTASY SIDE-SCROLLER PLAYERAGFPRO’s Fantasy Side Scroller Player is a new DLC for Axis Game Factory’s AGFPRO and PREMIUM that allows users the ability to build their own 3D games from a retro side-scroller perspective, allowing users to BUILD, PLAY and SHARE their own custom creations with other AGF users!!!  Using AGFPRO to effortlessly create maps, users will then be able to place features from the Fantasy Side-Scroller Player to customize their own unique side-scrolling games.Features Include:Player Start LocationsPlayer Exit LocationsEnemy PlacementPlayer Power-Ups – Super Speed, Super Jump, Invincibility, etc.Player Pick-UpsHack’n Slash Game PlayGame Play Mechanics Two unique Player Characters include – Knight and Wizard (next update will include Sorceress and Monk)Custom animations set for all Player and Enemy CharactersEach Player Character includes unique abilitiesAssets programmed with Game Play Mechanics – Coins, breakable & exploding barrels and treasure chestsScene-Linking – Players are able to connect maps with start and exit points for endless gameplay connecting as many maps as you'd like!!Enemy Scalability – choose from nine (9) different enemy Orc's - you can set the scale of the enemy characters!Custom GUISound and Sound Effects Get ready for some serious fun and immediate satisfaction creating your own side-scrolling maps to play AND share with your friends!! This is a DLC product and you must first purchase AGFPRO in order to utilize.Additional characters and features will be released in future DLC packs!The side scroller assets and player are locked to AGF and cannot be used in Unity. They are deisigned only to used with Axis Game Factory and the Fantasy Side-Scoller Player!Please note that the Fantasy Side-Scroller Player does not import into Unity and can only be played on the AGFPRO software platform AGFPRO FANTASY SIDE-SCROLLER PLAYERAGFPRO’s Fantasy Side Scroller Player is a new DLC for Axis Game Factory’s AGFPRO and PREMIUM that allows users the ability to build their own 3D games from a retro side-scroller perspective, allowing users to BUILD, PLAY and SHARE their own custom creations with other AGF users!!!  Using AGFPRO to effortlessly create maps, users will then be able to place features from the Fantasy Side-Scroller Player to customize their own unique side-scrolling games.Features Include:Player Start LocationsPlayer Exit LocationsEnemy PlacementPlayer Power-Ups – Super Speed, Super Jump, Invincibility, etc.Player Pick-UpsHack’n Slash Game PlayGame Play Mechanics Two unique Player Characters include – Knight and Wizard (next update will include Sorceress and Monk)Custom animations set for all Player and Enemy CharactersEach Player Character includes unique abilitiesAssets programmed with Game Play Mechanics – Coins, breakable & exploding barrels and treasure chestsScene-Linking – Players are able to connect maps with start and exit points for endless gameplay connecting as many maps as you'd like!!Enemy Scalability – choose from nine (9) different enemy Orc's - you can set the scale of the enemy characters!Custom GUISound and Sound Effects Get ready for some serious fun and immediate satisfaction creating your own side-scrolling maps to play AND share with your friends!! This is a DLC product and you must first purchase AGFPRO in order to utilize.Additional characters and features will be released in future DLC packs!The side scroller assets and player are locked to AGF and cannot be used in Unity. They are deisigned only to used with Axis Game Factory and the Fantasy Side-Scoller Player!Please note that the Fantasy Side-Scroller Player does not import into Unity and can only be played on the AGFPRO software platform AGFPRO Fantasy and Side-Scroller PlayerAGFPRO’s Fantasy Side Scroller Player is a new DLC for Axis Game Factory’s AGFPRO and PREMIUM that allows users the ability to build their own 3D games from a retro side-scroller perspective."
AI War Fleet Command,-1,
AION Free-to-Play,261430,
AKIBA'S TRIP Undead & Undressed,-1,
ALLTYNEX Second,283840," Single-player Steam Achievements Partial Controller Support Steam Cloud Steam Leaderboards Action Indie The year is 2192AD. 40 years ago, the Stellar-class All-purpose Administrative Computer ALLTYNEX suddenly attempted to enact genocide upon mankind. Commandeering armies of unmanned weapons, ALLTYNEX enacted a massacre so terrible that within only 72 hours of the start of the incident, approximately 85% of the world's population had perished.A small number of people narrowly managed to escape beyond the solar system, but their population steadily declined in the face of brutally harsh living conditions. Now, gambling everything, the remaining survivors rally to begin their first and final attempt to reclaim the Earth. Fight your way through the drone armies and Guardian Soldiers to end the Era of A.I. Dominance!5 stages of carefully crafted 2.5D vertical scrolling shooting action!Powerful Blade melee mechanic: get up close and personal for maximum destruction!Target enemies from afar with Homing Lasers or lance through enemies and bullets alike with the powerful Buster Rifle!Advanced combo system: smart play and switching between melee and fighter modes is rewarded!Tutorial, Practice and Replay (featuring normal and cinematic views) modes! The year is 2192AD. 40 years ago, the Stellar-class All-purpose Administrative Computer ALLTYNEX suddenly attempted to enact genocide upon mankind. Commandeering armies of unmanned weapons, ALLTYNEX enacted a massacre so terrible that within only 72 hours of the start of the incident, approximately 85% of the world's population had perished.A small number of people narrowly managed to escape beyond the solar system, but their population steadily declined in the face of brutally harsh living conditions. Now, gambling everything, the remaining survivors rally to begin their first and final attempt to reclaim the Earth. Fight your way through the drone armies and Guardian Soldiers to end the Era of A.I. Dominance!5 stages of carefully crafted 2.5D vertical scrolling shooting action!Powerful Blade melee mechanic: get up close and personal for maximum destruction!Target enemies from afar with Homing Lasers or lance through enemies and bullets alike with the powerful Buster Rifle!Advanced combo system: smart play and switching between melee and fighter modes is rewarded!Tutorial, Practice and Replay (featuring normal and cinematic views) modes! The year is 2192AD. 40 years ago, the Stellar-class All-purpose Administrative Computer ALLTYNEX suddenly attempted to enact genocide upon mankind. Commandeering armies of unmanned weapons, ALLTYNEX enacted a massacre so terrible that within only 72 hours of the start of the incident, approximately 85% of the world's population had..."
